success,status_code,elapsed_ms,error
True,200,6.55,
True,200,11.41,
True,200,4.25,
True,200,5.24,
True,200,5.15,
True,200,2.62,
True,200,5.36,
True,200,4.30,
True,200,38.69,
True,200,6.28,
True,200,10.21,
True,200,6.26,
True,200,2.51,
True,200,2.56,
True,200,9.34,
True,200,3.64,
True,200,5.53,
True,200,5.33,
True,200,2.64,
True,200,5.18,
True,200,3.55,
True,200,2.55,
True,200,2.94,
True,200,2.58,
True,200,11.56,
True,200,2.62,
True,200,8.09,
True,200,3.59,
True,200,14.07,
True,200,4.04,
True,200,3.14,
True,200,2.27,
True,200,4.43,
True,200,3.77,
True,200,2.49,
True,200,14.49,
True,200,14.87,
True,200,3.53,
True,200,3.45,
True,200,10.15,
True,200,113.74,
True,200,6.38,
True,200,54.12,
True,200,62.02,
True,200,39.66,
True,200,3.36,
True,200,5.19,
True,200,72.75,
True,200,19.93,
True,200,16.68,
True,200,108.96,
True,200,4.12,
True,200,9.67,
True,200,9.72,
True,200,4.09,
True,200,3.98,
True,200,11.26,
True,200,3.41,
True,200,9.51,
True,200,2.74,
True,200,3.37,
True,200,12.77,
True,200,5.67,
True,200,5.72,
True,200,2.97,
True,200,2.78,
True,200,4.61,
True,200,4.12,
True,200,18.10,
True,200,3.44,
True,200,2.14,
True,200,4.62,
True,200,3.60,
True,200,3.75,
True,200,3.34,
True,200,3.33,
True,200,6.10,
True,200,6.82,
True,200,9.76,
True,200,5.91,
True,200,3.34,
True,200,9.59,
True,200,15.43,
True,200,2.85,
True,200,2.98,
True,200,4.96,
True,200,20.02,
True,200,2.16,
True,200,27.41,
True,200,4.78,
True,200,7.60,
True,200,7.20,
True,200,6.29,
True,200,3.43,
True,200,3.34,
True,200,9.67,
True,200,5.67,
True,200,4.66,
True,200,8.13,
True,200,2.10,
True,200,2.19,
True,200,2.10,
True,200,3.90,
True,200,3.39,
True,200,2.76,
True,200,20.60,
True,200,10.96,
True,200,12.76,
True,200,5.14,
True,200,9.55,
True,200,19.24,
True,200,5.41,
True,200,6.37,
True,200,2.52,
True,200,2.12,
True,200,3.29,
True,200,2.59,
True,200,3.55,
True,200,2.21,
True,200,6.17,
True,200,12.65,
True,200,8.19,
True,200,3.01,
True,200,2.33,
True,200,3.98,
True,200,4.79,
True,200,7.93,
True,200,3.05,
True,200,5.47,
True,200,2.73,
True,200,4.16,
True,200,3.20,
True,200,4.12,
True,200,4.44,
True,200,4.97,
True,200,2.64,
True,200,1.73,
True,200,2.39,
True,200,14.35,
True,200,5.82,
True,200,3.74,
True,200,2.90,
True,200,5.04,
True,200,2.68,
True,200,7.25,
True,200,3.59,
True,200,3.08,
True,200,12.10,
True,200,96.73,
True,200,22.55,
True,200,31.93,
True,200,7.39,
True,200,3.41,
True,200,3.97,
True,200,19.58,
True,200,9.43,
True,200,8.89,
True,200,4.68,
True,200,5.28,
True,200,4.57,
True,200,3.54,
True,200,5.67,
True,200,5.97,
True,200,5.93,
True,200,7.08,
True,200,6.03,
True,200,5.99,
True,200,2.74,
True,200,2.67,
True,200,2.84,
True,200,2.57,
True,200,2.37,
True,200,5.81,
True,200,13.63,
True,200,18.61,
True,200,5.39,
True,200,3.90,
True,200,2.67,
True,200,4.36,
True,200,2.39,
True,200,6.06,
True,200,5.32,
True,200,3.54,
True,200,2.24,
True,200,2.73,
True,200,2.86,
True,200,3.01,
True,200,5.61,
True,200,8.25,
True,200,11.40,
True,200,10.05,
True,200,7.10,
True,200,6.73,
True,200,6.46,
True,200,2.84,
True,200,2.57,
True,200,3.78,
True,200,18.31,
True,200,6.47,
True,200,3.42,
True,200,5.61,
True,200,2.45,
True,200,3.25,
True,200,3.16,
True,200,13.26,
True,200,7.93,
True,200,4.37,
True,200,25.33,
True,200,6.86,
True,200,4.41,
True,200,2.47,
True,200,2.55,
True,200,5.41,
True,200,2.62,
True,200,2.45,
True,200,18.79,
True,200,4.45,
True,200,3.84,
True,200,3.33,
True,200,7.89,
True,200,8.02,
True,200,12.81,
True,200,17.30,
True,200,14.85,
True,200,13.84,
True,200,10.40,
True,200,9.52,
True,200,6.53,
True,200,5.23,
True,200,4.39,
True,200,7.04,
True,200,6.30,
True,200,3.44,
True,200,4.29,
True,200,3.97,
True,200,15.97,
True,200,15.02,
True,200,17.79,
True,200,29.19,
True,200,31.71,
True,200,5.13,
True,200,4.82,
True,200,4.34,
True,200,3.36,
True,200,28.46,
True,200,13.94,
True,200,4.18,
True,200,2.09,
True,200,12.13,
True,200,9.32,
True,200,5.64,
True,200,3.32,
True,200,6.21,
True,200,10.45,
True,200,2.68,
True,200,2.71,
True,200,2.62,
True,200,2.78,
True,200,3.84,
True,200,4.27,
True,200,4.58,
True,200,8.46,
True,200,11.62,
True,200,9.11,
True,200,2.03,
True,200,1.78,
True,200,4.72,
True,200,11.29,
True,200,2.08,
True,200,2.70,
True,200,3.37,
True,200,2.44,
True,200,21.34,
True,200,4.87,
True,200,12.38,
True,200,12.92,
True,200,4.98,
True,200,5.97,
True,200,2.18,
True,200,2.42,
True,200,2.79,
True,200,3.36,
True,200,5.11,
True,200,7.68,
True,200,8.30,
True,200,3.51,
True,200,2.30,
True,200,2.42,
True,200,3.89,
True,200,2.68,
True,200,3.83,
True,200,3.40,
True,200,7.27,
True,200,6.00,
True,200,3.51,
True,200,2.49,
True,200,5.73,
True,200,4.89,
True,200,3.32,
True,200,4.63,
True,200,4.77,
True,200,5.43,
True,200,5.35,
True,200,3.06,
True,200,10.47,
True,200,9.84,
True,200,16.67,
True,200,4.48,
True,200,2.76,
True,200,2.53,
True,200,5.85,
True,200,2.17,
True,200,3.74,
True,200,6.11,
True,200,4.46,
True,200,3.33,
True,200,5.44,
True,200,3.18,
True,200,3.38,
True,200,3.87,
True,200,3.13,
True,200,2.42,
True,200,3.49,
True,200,3.18,
True,200,6.59,
True,200,7.37,
True,200,3.17,
True,200,2.20,
True,200,6.65,
True,200,3.18,
True,200,3.39,
True,200,3.43,
True,200,13.86,
True,200,5.29,
True,200,2.24,
True,200,5.92,
True,200,7.70,
True,200,26.67,
True,200,3.56,
True,200,4.55,
True,200,14.08,
True,200,2.98,
True,200,5.50,
True,200,7.55,
True,200,13.90,
True,200,15.82,
True,200,5.82,
True,200,8.78,
True,200,6.71,
True,200,6.35,
True,200,7.55,
True,200,5.05,
True,200,13.07,
True,200,3.29,
True,200,19.66,
True,200,2.95,
True,200,2.51,
True,200,4.96,
True,200,4.24,
True,200,4.00,
True,200,5.03,
True,200,3.35,
True,200,5.57,
True,200,7.10,
True,200,7.51,
True,200,3.51,
True,200,3.17,
True,200,11.09,
True,200,3.67,
True,200,5.89,
True,200,4.13,
True,200,11.80,
True,200,5.80,
True,200,8.90,
True,200,2.91,
True,200,3.84,
True,200,2.48,
True,200,7.40,
True,200,3.80,
True,200,3.70,
True,200,3.86,
True,200,3.94,
True,200,10.36,
True,200,6.90,
True,200,4.25,
True,200,7.52,
True,200,9.38,
True,200,9.27,
True,200,9.93,
True,200,4.17,
True,200,20.07,
True,200,3.16,
True,200,4.53,
True,200,7.40,
True,200,5.50,
True,200,3.92,
True,200,19.81,
True,200,7.47,
True,200,8.17,
True,200,29.26,
True,200,3.50,
True,200,22.31,
True,200,22.71,
True,200,4.83,
True,200,8.43,
True,200,40.14,
True,200,4.00,
True,200,12.29,
True,200,9.86,
True,200,8.09,
True,200,6.62,
True,200,21.24,
True,200,3.10,
True,200,4.54,
True,200,37.20,
